?_MCP (°),?_PIP (°),?_DIP (°)
-36.548,-35.05738225,-36.76027789
-36.549,-35.0581934,-36.76112844
-36.55,-35.05900449,-36.76197896
-36.551,-35.05981563,-36.76282949
-36.552,-35.06062669,-36.76367999
-36.553,-35.06143781,-36.7645305
-36.554,-35.06224886,-36.76538097
-36.555,-35.06305995,-36.76623146
-36.556,-35.06387098,-36.76708191
-36.557,-35.06468205,-36.76793239
-36.558,-35.06549306,-36.76878282
-36.559,-35.06630411,-36.76963327
-36.56,-35.0671151,-36.77048367
-36.561,-35.06792613,-36.7713341
-36.562,-35.0687371,-36.77218449
-36.563,-35.06954811,-36.7730349
-36.564,-35.07035906,-36.77388526
-36.565,-35.07117005,-36.77473565
-36.566,-35.07198098,-36.775586
-36.567,-35.07279195,-36.77643636
-36.568,-35.07360286,-36.77728669
-36.569,-35.07441381,-36.77813703
-36.57,-35.07522469,-36.77898733
-36.571,-35.07603563,-36.77983766
-36.572,-35.07684649,-36.78068794
-36.573,-35.07765741,-36.78153824
-36.574,-35.07846825,-36.7823885
-36.575,-35.07927914,-36.78323878
-36.576,-35.08008997,-36.78408902
-36.577,-35.08090084,-36.78493928
-36.578,-35.08171165,-36.7857895
-36.579,-35.0825225,-36.78663974
-36.58,-35.08333328,-36.78748993
-36.581,-35.08414411,-36.78834015
-36.582,-35.08495488,-36.78919032
-36.583,-35.08576569,-36.79004052
-36.584,-35.08657643,-36.79089067
-36.585,-35.08738722,-36.79174085
-36.586,-35.08819795,-36.79259098
-36.587,-35.08900872,-36.79344114
-36.588,-35.08981942,-36.79429125
-36.589,-35.09063017,-36.79514138
-36.59,-35.09144086,-36.79599147
-36.591,-35.09225159,-36.79684158
-36.592,-35.09306225,-36.79769165
-36.593,-35.09387296,-36.79854174
-36.594,-35.09468361,-36.79939179
-36.595,-35.0954943,-36.80024186
-36.596,-35.09630492,-36.80109189
-36.597,-35.09711559,-36.80194194
-36.598,-35.09792619,-36.80279194
-36.599,-35.09873684,-36.80364197
-36.6,-35.09954743,-36.80449195
-36.601,-35.10035806,-36.80534196
-36.602,-35.10116862,-36.80619192
-36.603,-35.10197923,-36.80704191
-36.604,-35.10278977,-36.80789185
-36.605,-35.10360036,-36.80874181
-36.606,-35.10441088,-36.80959173
-36.607,-35.10522145,-36.81044168
-36.608,-35.10603195,-36.81129158
-36.609,-35.1068425,-36.8121415
-36.61,-35.10765298,-36.81299137
-36.611,-35.10846351,-36.81384128
-36.612,-35.10927397,-36.81469113
-36.613,-35.11008448,-36.81554101
-36.614,-35.11089492,-36.81639085
-36.615,-35.11170541,-36.81724071
-36.616,-35.11251583,-36.81809052
-36.617,-35.1133263,-36.81894036
-36.618,-35.1141367,-36.81979015
-36.619,-35.11494715,-36.82063997
-36.62,-35.11575753,-36.82148974
-36.621,-35.11656796,-36.82233953
-36.622,-35.11737832,-36.82318928
-36.623,-35.11818872,-36.82403906
-36.624,-35.11899906,-36.82488879
-36.625,-35.11980945,-36.82573854
-36.626,-35.12061977,-36.82658825
-36.627,-35.12143014,-36.82743798
-36.628,-35.12224044,-36.82828766
-36.629,-35.12305078,-36.82913737
-36.63,-35.12386106,-36.82998704
-36.631,-35.12467139,-36.83083673
-36.632,-35.12548165,-36.83168637
-36.633,-35.12629196,-36.83253604
-36.634,-35.1271022,-36.83338566
-36.635,-35.12791248,-36.83423531
-36.636,-35.1287227,-36.83508491
-36.637,-35.12953297,-36.83593454
-36.638,-35.13034317,-36.83678412
-36.639,-35.13115341,-36.83763372
-36.64,-35.13196359,-36.83848328
-36.641,-35.13277381,-36.83933287
-36.642,-35.13358397,-36.8401824
-36.643,-35.13439418,-36.84103197
-36.644,-35.13520432,-36.84188148
-36.645,-35.1360145,-36.84273102
-36.646,-35.13682462,-36.84358052
-36.647,-35.13763478,-36.84443004
-36.648,-35.13844488,-36.84527951
-36.649,-35.13925503,-36.84612901
-36.65,-35.1400651,-36.84697847
-36.651,-35.14087523,-36.84782794
-36.652,-35.14168528,-36.84867737
-36.653,-35.14249539,-36.84952683
-36.654,-35.14330543,-36.85037624
-36.655,-35.14411551,-36.85122568
